id,q1,q2,q3,q4,q10a,q10b,q10c,q10d,q10e,q10f,q10g,Q11,Q12,Q13,Q14,Q15,Q16,Q17,PC_1,PC_2,PC_3
884,1,6,5,5,3,2,5,5,4,4,2,40,6,0,9,2,2,1,1.007151532,-0.496749019,1.619500818
881,1,1,#NULL!,2,2,1,3,4,2,1,3,75,8,0,1,1,2,1,-0.05187922408,-2.66550147,0.8265826253
713,1,5,#NULL!,5,3,2,2,4,4,3,2,10,4,0,7,2,2,1,0.4658310235,0.1752395778,-0.1710576721
714,1,6,2,8,4,4,2,4,4,5,2,0,99,0,5,1,2,1,1.620534521,2.36240816,-1.343780482
875,1,1,#NULL!,2,2,1,2,4,1,1,4,5,4,0,1,2,2,1,-0.4431613862,-1.139685883,-0.2020212115
413,1,6,4,6,2,3,4,2,2,2,2,7,2,5,1,1,2,1,-0.9378387572,-0.4615353219,0.8104088812
794,1,6,2,4,2,3,2,2,3,2,2,4,6,10,1,1,2,1,-0.5797662027,-0.1610087737,-0.2452250631
944,1,6,5,8,1,3,4,4,2,5,1,0,2,10,5,1,2,1,-0.422741476,0.3036747225,0.8510736414
945,1,4,#NULL!,5,1,1,1,1,2,1,2,5,6,0,1,2,2,1,-1.379464458,-1.271690916,-1.504034963
1025,1,6,3,6,3,1,2,1,3,1,1,20,8,40,1,1,2,1,-1.053383908,-0.8075690366,-0.982451474
1022,1,6,3,2,3,2,2,2,3,4,4,10,7,0,1,2,2,1,0.5711222178,-0.2562580477,-0.5482302549
911,1,6,5,4,3,2,3,2,2,4,4,35,6,0,11,2,2,1,0.3371008174,-0.9914911371,0.2320943414
842,1,1,#NULL!,2,5,2,1,5,4,4,2,25,4,0,1,1,2,1,1.122370004,0.8313679625,-0.2912736306
844,1,5,#NULL!,6,3,4,5,2,1,2,3,10,6,5,1,2,2,1,-0.836826566,-0.2225030719,1.702155505
893,1,5,1,5,2,1,4,5,4,1,3,3,8,5,5,2,2,1,0.4938856861,-0.8046603463,0.6465112587
894,1,6,1,6,3,1,3,4,5,3,2,5,10,95,1,2,2,1,0.8466936054,0.04743159894,-0.2594211325
1034,1,6,5,2,2,1,2,3,5,3,5,60,9,0,9,2,2,1,1.723026915,-2.233107133,-0.1596158753
1035,1,3,#NULL!,7,4,2,2,4,1,1,2,10,3,0,1,2,2,1,-0.852255847,0.03266696571,0.1351962952
1172,1,6,5,5,1,1,1,2,3,3,3,50,3,0,1,1,2,1,0.0318377437,-2.090234067,-0.8910963667
1174,1,6,5,2,3,1,1,2,5,4,3,20,7,0,1,2,2,1,1.007118667,-0.4106100442,-1.390519151
694,1,6,5,2,2,5,5,3,1,2,2,3,1,0,11,1,2,1,-1.140286409,0.1301527996,2.187775773
1314,1,5,#NULL!,4,2,1,1,4,2,3,2,60,7,0,9,2,1,1,-0.05638108012,-1.609086854,-0.4372203452
231,1,1,#NULL!,2,3,2,4,3,4,4,4,60,7,0,1,2,2,1,1.339687572,-1.489873699,1.064306675
235,1,6,3,4,2,3,3,4,4,2,1,10,6,50,1,1,2,1,-0.1327378395,0.05342982244,0.5898073824
551,1,6,5,5,3,1,2,5,2,2,1,10,7,0,1,2,2,1,-0.4925114483,-0.01515838236,-0.2701831384
552,1,6,5,5,3,4,5,5,2,4,3,5,6,0,1,1,2,1,0.4413492423,0.6033908667,2.087610252
555,1,6,2,6,2,1,4,3,4,2,2,10,7,50,1,1,2,1,0.01870224101,-0.827314263,0.1865870251
132,1,6,3,3,1,2,4,2,3,1,2,20,8,0,1,1,1,1,-0.7690260283,-1.456915258,0.507846405
1145,1,6,2,4,2,3,5,5,5,5,5,15,8,15,1,1,2,1,2.251274803,-0.3040791032,1.718538588
483,1,6,2,6,3,2,1,2,1,1,1,7,7,5,1,2,2,1,-1.630109142,-0.1349702623,-0.922335861
481,1,6,3,6,1,2,4,1,4,3,4,5,7,70,1,1,2,1,0.3051962235,-1.196265955,0.09453665256
482,1,4,#NULL!,5,2,1,3,4,5,5,5,50,7,0,1,2,1,1,2.237304701,-1.628130706,0.2882725309
545,1,5,5,5,1,2,2,2,1,3,3,10,4,0,11,1,2,1,-0.8435056026,-1.005137569,-0.4462522552
541,1,5,5,5,1,1,2,2,2,2,1,10,7,5,11,2,1,1,-1.272315272,-0.9935237426,-0.9375136489
542,1,6,2,5,1,5,4,2,1,3,3,7,4,15,1,1,1,1,-0.8936978113,-0.3176567022,1.480773221
1692,1,5,5,5,2,1,1,4,5,5,2,15,8,0,5,2,1,1,1.155894674,-0.03663282062,-1.199969282
1605,1,6,3,4,2,1,1,5,1,1,2,40,3,75,9,1,2,1,-0.7150711197,-1.436529906,-0.1855871895
1602,1,6,3,5,2,1,2,4,2,3,2,15,7,5,1,2,2,1,-0.2635046637,-0.5895289115,-0.457761273
1543,1,1,#NULL!,2,2,1,3,5,4,3,1,21,2,0,1,1,2,1,0.2960625196,-0.4806282311,0.2144724442
1544,1,4,#NULL!,2,1,3,2,2,2,3,1,2,3,0,1,2,2,1,-1.174639342,-0.1403208625,-0.3299173204
1624,1,6,5,5,5,3,1,1,1,1,1,20,4,0,5,2,2,1,-1.592825401,0.3398907086,-0.5505036391
573,1,6,6,5,1,3,4,4,2,3,2,1,5,5,1,1,2,1,-0.4698210978,-0.2382276961,1.01764367
575,1,6,6,5,2,3,1,2,2,2,2,10,7,0,1,1,2,1,-0.88851459,-0.2597149774,-0.6152019025
1633,1,5,#NULL!,4,2,2,2,2,2,3,2,0,1,0,1,1,2,1,-0.7758319106,-0.2234235996,-0.5819828703
1683,1,6,2,5,2,1,1,3,1,4,2,10,6,20,1,1,2,1,-0.6386841861,-0.3653368822,-1.191312573
1681,1,1,#NULL!,2,2,2,2,3,4,2,3,5,2,0,1,1,2,1,0.2495704002,-0.5211123521,-0.2843798751
1513,1,5,#NULL!,4,2,1,2,4,4,4,5,9,10,60,1,1,2,1,1.534897246,-0.7393203905,-0.5420868929
1165,1,6,5,4,3,2,2,2,2,3,3,2,2,0,11,2,2,1,-0.348003459,-0.123414066,-0.495090316
1161,1,1,#NULL!,2,1,5,5,1,5,1,3,6,1,0,1,2,2,1,-0.1229746893,-0.6957592705,1.7538643
1162,1,5,#NULL!,5,4,2,4,2,2,3,4,1,4,30,1,1,2,1,0.0761086516,-0.09948295417,0.4568670968
1012,1,6,5,2,4,3,4,4,4,3,4,12,6,0,1,1,2,1,1.199210954,0.192306974,1.222768109
864,1,6,5,5,5,1,4,2,2,1,2,10,8,0,1,2,2,1,-0.7355668639,-0.1817532907,0.1786183315
861,1,6,3,5,1,4,4,2,3,1,3,30,7,0,1,1,2,1,-0.4480457653,-1.385320627,1.389494249
385,1,6,5,6,3,4,3,4,4,2,1,0,3,0,1,2,2,1,-0.1128196043,0.862764778,0.9047655887
381,1,1,#NULL!,2,2,4,4,2,3,2,2,70,6,0,1,2,2,1,-0.2847657898,-1.67161099,1.717668588
382,1,1,#NULL!,2,4,2,2,1,4,2,1,20,7,0,1,2,2,1,-0.4367515182,-0.01267268054,-0.7094593585
813,1,6,5,6,1,2,5,1,4,4,3,80,9,80,1,1,2,1,0.5525792065,-2.723398786,1.17840928
811,1,5,#NULL!,2,2,1,4,1,2,2,2,20,7,5,1,1,1,1,-1.004483282,-1.35870314,-0.04267793664
41,1,6,1,6,5,4,3,5,5,2,3,4,10,90,1,1,2,1,1.316570422,1.245769984,1.160026327
1193,1,6,7,8,2,1,2,5,2,2,2,20,9,75,1,1,2,1,-0.2248481393,-0.7660095178,-0.1578690038
1195,1,6,2,6,2,1,4,4,5,5,1,40,10,80,3,1,2,1,0.9825053365,-0.6759113877,0.340320826
992,1,5,5,8,3,1,3,3,4,3,4,25,7,15,3,2,2,1,0.9976860866,-0.989480921,-0.03953541525
993,1,6,2,3,1,2,2,2,4,3,3,6,5,50,6,1,2,1,0.1751848755,-0.7834922061,-0.6279367668
373,1,6,7,6,3,1,4,2,2,4,3,100,10,5,1,1,2,1,0.374993798,-2.691156335,0.9000527181
375,1,4,#NULL!,2,4,1,2,3,5,5,3,20,6,0,9,1,2,1,1.486295681,0.114803394,-0.7596659669
5417,1,6,3,8,3,2,3,3,2,3,2,25,6,10,1,2,2,1,-0.3258227537,-0.4360600507,0.2836937569
5417,1,6,5,3,4,3,2,2,1,9,1,5,2,0,9,2,2,1,-0.05405624121,1.785997271,-0.6145135371
1101,1,6,5,4,2,2,5,4,2,1,4,200,6,10,9,1,2,1,0.8089130671,-5.822394661,3.511963391
1105,1,6,2,3,2,3,4,5,2,1,1,4,1,0,1,1,2,1,-0.8846801747,-0.06566989138,1.432063059
533,1,6,4,6,1,4,1,2,4,2,1,0,6,25,1,1,2,1,-0.6799962118,0.1700874022,-0.5200886284
593,1,6,4,6,2,4,3,3,4,2,2,0,2,50,1,1,2,1,-0.1064465237,0.2274035485,0.7543154199
591,1,6,2,4,2,3,2,2,2,1,1,8,3,50,9,1,2,1,-1.427744717,-0.3052774897,-0.09921087814
1213,1,6,2,3,4,1,1,5,4,1,3,10,7,0,3,1,2,1,0.7199293647,-0.08412097438,-0.590931377
473,1,6,3,4,2,2,3,2,2,2,3,25,9,80,1,2,2,1,-0.4799430154,-1.215120281,0.1372147027
474,1,6,2,3,2,1,4,1,1,2,2,6,5,10,1,1,2,1,-1.42802462,-1.071508678,-0.1161180307
1203,1,6,6,9,1,3,5,5,5,5,2,50,9,0,1,1,2,1,1.393775432,-0.9096845968,1.866285235
1204,1,6,4,3,2,2,2,4,2,4,2,30,10,60,6,1,2,1,0.008125700171,-0.4997048446,-0.07500387376
1205,1,6,1,4,3,4,4,4,4,4,4,60,10,40,6,1,2,1,1.528902184,-0.84705385,1.917411025
1202,1,6,3,3,1,1,1,4,4,4,4,80,10,30,1,2,2,1,1.451606199,-2.534308847,-0.3285000259
964,1,6,5,3,2,4,2,5,5,4,2,50,10,0,1,2,2,1,1.295933351,-0.2523552503,0.9201250072
1025,1,6,3,6,3,1,2,1,3,1,1,20,8,40,1,1,2,1,-1.053383908,-0.8075690366,-0.982451474
1022,1,6,3,2,3,2,2,2,3,4,4,10,7,0,1,2,2,1,0.5711222178,-0.2562580477,-0.5482302549
625,1,6,3,3,5,5,5,5,2,1,2,6,4,80,9,1,2,1,-0.2608554558,1.149266763,2.68026096
1423,1,4,#NULL!,3,1,2,2,3,1,1,2,3,1,0,1,1,2,1,-1.399355191,-0.912438331,-0.1763363911
1374,1,6,4,2,2,1,2,3,2,3,1,100,7,30,9,1,2,1,-0.3699061243,-2.577939169,0.1742518334
1375,1,6,1,4,3,5,3,5,4,2,1,1,3,5,1,1,2,1,0.07051949728,1.200457667,1.471980327
641,1,6,2,5,5,1,3,5,2,5,1,3,6,0,1,1,2,1,0.2485364664,1.258157427,-0.04676967886
572,1,6,5,5,3,2,1,2,3,1,3,49,8,3,1,2,2,1,-0.1250703261,-1.45617433,-0.4515511734
1261,1,6,5,4,2,3,1,5,5,1,5,40,8,2,9,1,2,1,1.595501462,-1.300431968,0.4473845685
1262,1,5,5,4,1,1,1,1,2,3,1,2,4,40,11,1,2,1,-1.33384407,-0.6731213442,-1.709077457
781,1,6,4,4,2,1,1,1,1,2,1,10,6,50,1,1,2,1,-1.713540047,-0.7347412913,-1.523923596
782,1,6,5,5,2,1,1,1,1,5,1,15,3,0,1,2,2,1,-1.138723776,-0.3549074788,-1.637974066
703,1,6,4,4,2,2,1,4,5,5,3,70,5,10,1,1,2,1,1.682478875,-1.336033133,-0.1544533772
903,1,6,4,4,3,2,2,3,4,5,4,25,7,0,1,1,2,1,1.36698624,-0.3034782529,-0.2942751911
201,1,6,7,5,2,2,5,1,2,2,2,25,5,25,1,1,2,1,-1.008642016,-1.317874452,0.8501947224
164,1,2,#NULL!,8,1,3,2,2,3,3,1,0,2,0,1,2,2,1,-0.848560545,-0.06065215345,-0.3745611981
773,1,6,4,6,2,2,4,4,2,1,2,20,4,0,1,1,2,1,-0.6576548205,-0.9854239806,1.055334747
661,1,6,5,4,3,1,2,3,5,2,2,20,8,30,1,2,2,1,0.5160546708,-0.5358605165,-0.65821216
662,1,5,#NULL!,5,4,1,4,5,5,2,5,25,10,5,1,2,2,1,1.967691618,-0.8300259361,0.8977300035
665,1,1,#NULL!,3,3,1,3,2,2,2,1,0,4,0,1,1,2,1,-1.135820278,-0.1881540098,-0.4925969771
311,1,6,3,4,2,5,5,5,2,2,1,1,1,0,11,2,2,1,-0.7314768568,0.6183891543,2.480823117
264,1,6,2,4,3,1,9,3,3,2,2,30,10,10,4,1,2,1,-0.1000263348,-1.391635356,2.69428637
265,1,6,2,3,5,1,2,2,2,3,3,10,6,0,3,2,2,1,-0.0618855361,0.1191657988,-0.7851565786
744,1,2,#NULL!,2,2,1,5,1,3,5,1,20,8,0,9,1,2,1,-0.3855674833,-0.6744645823,0.07584803055
745,1,5,5,4,2,1,1,4,3,2,4,15,8,0,11,2,2,1,0.5111006845,-1.021103559,-0.7762145011
282,1,6,3,4,2,2,4,4,2,4,1,6,5,5,1,1,2,1,-0.4478684153,0.0803058512,0.6088549706
284,1,5,#NULL!,4,3,2,3,4,3,1,1,10,5,20,11,2,2,1,-0.5599712433,-0.0936906443,0.3935483446
285,1,1,#NULL!,3,5,3,1,5,1,1,2,20,6,5,1,2,2,1,-0.5025454509,0.5846407272,0.310245073
834,1,6,1,6,3,3,2,2,5,4,2,10,4,10,1,1,2,1,0.6045593228,0.4363367121,-0.3531571424
835,1,6,2,6,5,5,1,5,5,1,1,50,4,1,5,1,2,1,0.6592161361,0.6968019521,1.13518825
831,1,5,5,2,1,1,5,1,2,1,2,20,5,0,4,1,1,1,-1.313082914,-1.959893286,0.500717633
672,1,6,3,5,5,2,2,5,4,2,1,10,6,0,1,2,2,1,0.3780661527,0.9750671958,0.05622028796
674,1,6,5,5,3,4,4,4,5,5,3,10,8,15,3,1,2,1,1.508401536,0.7620337964,1.245814534
675,1,3,#NULL!,9,1,2,3,2,3,3,2,0,7,10,1,2,2,1,-0.4872145826,-0.5478553009,-0.2901607912
21,1,1,#NULL!,5,3,2,1,1,1,1,2,14,3,0,1,1,2,1,-1.512230797,-0.6329866668,-0.9256334625
24,1,6,5,5,2,3,5,2,2,2,2,4,4,0,1,1,2,1,-0.9349421246,-0.4511782096,1.201153159
1322,1,6,6,5,3,5,2,5,1,1,1,50,7,0,9,1,2,1,-0.8937417691,-0.1765833609,1.660931812
1705,1,6,5,5,3,2,5,2,4,4,3,12,6,5,1,1,2,1,0.6110025995,-0.3191287681,0.7590184413
1332,1,1,#NULL!,2,2,2,2,1,4,4,3,55,6,0,1,1,2,1,0.512395223,-1.569437183,-0.3853030452
1334,1,6,5,3,5,2,5,1,1,1,5,20,6,0,1,2,2,1,-0.3264999184,-0.979004314,1.142224777
1491,1,4,#NULL!,3,2,1,2,2,4,2,4,40,7,0,1,2,1,1,0.5801466294,-1.888799703,-0.4939380505
1492,1,1,#NULL!,3,1,2,2,4,1,1,1,15,6,0,1,2,2,1,-1.421481631,-0.8702164662,0.01137641597
1481,1,5,#NULL!,2,2,1,2,2,2,2,2,15,6,0,1,2,2,1,-0.8461974565,-0.9824455777,-0.784289861
1482,1,1,#NULL!,3,3,2,3,2,2,2,2,10,6,0,1,2,2,1,-0.7785508039,-0.3501157343,-0.01092285632
291,1,1,#NULL!,3,5,5,1,5,5,5,4,5,4,0,1,2,2,1,2.142481895,1.923125325,0.551132517
294,1,5,#NULL!,6,3,3,5,4,2,4,3,21,6,0,1,1,2,1,0.3367048711,-0.1491519647,1.700828391
255,1,6,2,6,4,3,4,2,2,3,2,15,6,2,3,1,2,1,-0.4729239089,0.213328843,0.7956297447
681,1,5,5,6,2,2,5,4,3,9,2,20,2,0,11,1,2,1,1.204583003,0.3601562108,0.9226277259
682,1,6,5,6,5,3,2,4,2,1,2,12,4,0,4,2,2,1,-0.4024565367,0.6193358902,0.4678770604
685,1,6,2,6,3,1,2,4,2,5,2,20,6,5,1,1,2,1,0.2377187874,-0.03736743263,-0.5122290211
1275,1,6,2,6,1,2,2,3,4,4,2,25,8,80,6,1,2,1,0.3615534307,-0.7526693496,-0.4043893215
72,1,6,1,3,4,4,5,4,2,4,2,10,5,10,4,2,2,1,0.05931913179,0.8911035749,1.908894005
393,1,6,6,6,3,3,2,9,3,3,5,0,10,65,6,1,2,1,1.993135494,0.6372456189,1.235413879
395,1,5,#NULL!,5,3,1,4,1,4,2,3,20,7,5,1,2,2,1,0.09255993858,-1.140300786,-0.04109080952
455,1,4,#NULL!,5,2,2,4,4,4,2,5,20,9,25,1,2,2,1,1.184119641,-1.265910531,1.000201181
1442,1,1,#NULL!,5,3,3,2,3,4,4,1,25,5,0,5,1,2,1,0.2219883337,0.3351805416,-0.02396141443
1443,1,4,#NULL!,6,5,4,1,5,1,2,5,3,4,2,1,2,2,1,0.5067772443,0.8436671412,0.6249557272
343,1,6,4,3,1,3,2,4,2,2,2,30,7,30,7,1,2,1,-0.5140404232,-0.9481859344,0.4497511594
341,1,6,2,4,3,3,4,2,2,4,2,15,3,1,9,2,2,1,-0.4071300597,0.03313989903,0.7532920913
342,1,6,1,4,3,4,2,2,4,2,4,20,6,0,6,2,2,1,0.5435871896,-0.3054324374,0.3768700639
61,1,6,5,3,2,2,1,5,5,4,5,10,6,0,1,2,2,1,2.02899044,-0.3157742442,-0.4036289401
61,1,1,#NULL!,3,4,3,3,5,5,5,3,100,8,0,1,2,2,1,2.230827762,-1.176091674,1.625217379
332,1,1,#NULL!,3,2,1,2,2,4,1,2,15,4,0,1,1,2,1,-0.3672126789,-1.095864022,-0.7581714317
335,1,5,#NULL!,3,3,1,1,2,2,1,1,4,6,60,1,1,2,1,-1.295767148,-0.2880388041,-1.325831954
124,1,1,#NULL!,2,2,1,5,5,2,1,1,5,4,0,5,2,2,1,-0.8296835662,-0.6593436298,1.15154003
124,1,1,#NULL!,2,4,5,2,2,4,4,1,20,4,0,5,1,2,1,0.07615542087,1.190407914,0.4494511401
124,1,6,6,3,2,1,3,4,1,1,1,16,5,10,1,2,1,1,-1.30807474,-0.9064459044,0.169193649
124,1,6,5,4,1,1,1,3,4,3,2,15,8,0,1,1,2,1,0.1352794905,-0.8623500157,-1.242888946
931,1,1,#NULL!,2,4,2,5,4,4,1,2,10,4,0,1,2,2,1,0.1885090291,-0.07902219215,1.367193113
932,1,1,#NULL!,3,3,2,2,4,4,2,4,20,7,0,1,2,2,1,0.9603753561,-0.60194026,0.07987300962
1361,1,1,#NULL!,3,2,1,1,2,2,2,2,20,6,0,1,2,2,1,-0.8242379445,-1.02588601,-1.188296879
1364,1,6,1,7,4,1,1,1,1,1,2,30,7,20,1,2,2,1,-1.291578524,-0.9173795265,-1.151911606
491,1,1,#NULL!,3,1,2,4,2,2,2,1,70,7,0,1,2,2,1,-1.00508947,-2.357708333,0.96169781
495,1,1,#NULL!,3,2,1,1,3,3,3,3,10,8,0,1,1,2,1,0.1797692874,-0.6381053067,-1.172385664
301,1,1,#NULL!,2,2,1,2,4,2,3,3,50,9,10,1,2,2,1,0.2223846538,-1.618704269,-0.05898320198
302,1,1,#NULL!,2,2,1,2,4,4,4,2,15,6,0,1,1,2,1,0.6066575334,-0.3447978552,-0.5947906929
1611,1,1,#NULL!,3,3,3,4,3,3,5,4,21,6,5,1,2,2,1,0.9870145851,-0.152460215,0.9835661722
1612,1,1,#NULL!,2,2,2,4,5,1,1,1,4,2,0,3,1,2,1,-1.207124877,-0.3536729136,1.107241023
1613,1,6,3,4,3,2,1,2,1,5,1,10,6,0,1,2,2,1,-0.8572639096,0.4845360927,-1.165055257
1614,1,5,#NULL!,7,2,1,3,2,2,5,1,0,6,50,1,2,1,1,-0.6476531267,0.0212516577,-0.7670627553
1615,1,1,#NULL!,2,4,2,4,4,1,4,1,10,1,0,1,1,2,1,-0.5986869345,0.5760233228,0.8031945301
463,1,6,4,6,2,2,4,4,3,4,2,10,10,60,1,1,2,1,0.2610516298,-0.130070491,0.5862116272
464,1,2,#NULL!,7,3,2,2,2,2,4,4,5,7,0,1,2,2,1,0.2048407373,-0.1729674701,-0.5606371989
424,1,6,4,6,2,3,3,2,4,4,2,10,8,40,1,1,2,1,0.1913067666,0.01873423291,0.0544781731
